epoch,loss,lr,mean_iou,val_loss,val_mean_iou
0,0.3741644249311461,0.001,0.5299625167382948,0.672077112328047,0.5531244641062857
1,0.3183986130924452,0.001,0.5608576754413584,0.34728403355000337,0.5678796857767712
2,0.2693958620388041,0.001,0.575398826220679,0.46676178431579834,0.5868577970934741
3,0.23994816730104426,0.001,0.5920589037042446,0.6604802686871821,0.6008431560042277
4,0.2342424686702471,0.001,0.605094649867406,0.5261393985307286,0.6124403545622191
5,0.2237423953477037,0.001,0.6157838691479315,0.3576772879658407,0.6213240489105268
6,0.22197602098738706,0.001,0.6236060533574018,0.4719951076142361,0.6295364433630354
7,0.2101787315474616,0.001,0.631957097532888,0.9868922926097936,0.6359886819916654
8,0.20190360780273164,0.001,0.6374710055255385,1.1535292498638174,0.6405699473585007
9,0.19407540932691916,0.001,0.641684377382672,0.5637047165046537,0.6452806192326408
10,0.18952288417116045,0.001,0.6471000001544044,0.5442811205035689,0.6509298027595344
11,0.18346614792706475,0.001,0.6525044411578507,0.8369218708807333,0.6558680427556782
12,0.182681598794208,0.001,0.6577524067863586,0.8306070837499089,0.6608682202465962
13,0.1755852281574219,0.001,0.6621421014821088,0.5576599754522301,0.6651358604431152
14,0.17269441100261199,0.001,0.6663834033819733,0.38670533421756215,0.669429298770221
15,0.1569390864126266,0.001,0.6718381804763955,0.912928963672219,0.6745162096326751
16,0.17235783273896213,0.001,0.6751402337084371,0.511881033679998,0.6778095560955864
17,0.17247388816226727,0.001,0.6788108421381188,0.7843683344780366,0.6809065462536894
18,0.16321241892282926,0.001,0.6819284642814959,0.5422898176088499,0.6840616488732354
19,0.1556524089483357,0.001,0.6852852846579577,0.43821726627432545,0.687546731419646
20,0.15999593658264352,0.001,0.6882706592322657,0.4831173258882038,0.6904110577754202
21,0.1662485668701785,0.001,0.6911361952307363,0.43336500834695174,0.6929766156769901
22,0.1522648188172194,0.001,0.6942450670968918,0.390724557586488,0.6961423992421586
23,0.15335552585976464,0.001,0.6970778368137501,0.43980086857528355,0.6991122554492399
24,0.14297490747714484,0.001,0.7004351820264544,0.41926559220159676,0.702251654828904
25,0.1495859323394677,0.001,0.7030560025462398,0.5224884919865282,0.7043922612432799
26,0.15587326033169,0.001,0.7048113286810577,0.627734257780403,0.7060186614879983
27,0.14183321942097296,0.001,0.7065502954538537,0.4773414448075901,0.7081447543436392
28,0.15408812278792972,0.001,0.7088578526305143,0.4887771175775914,0.7103668881978603
29,0.15060224950155884,0.001,0.7111162297309391,0.32995962713322885,0.712539398945825
30,0.1406631108274851,0.001,0.7134129823200286,0.5165624627574331,0.7147368519981473
31,0.14627594734547,0.001,0.7154133119911114,0.45700680847801917,0.7167992819251353
32,0.12888635140326288,0.001,0.7178343129536462,0.42487043852923234,0.7192089750587596
33,0.14136330898082444,0.001,0.7198890823535818,0.43170569045738333,0.7210859756249224
34,0.13634843716703396,0.001,0.7216197937884659,0.5383091386343013,0.7225561610536079
35,0.13752814729614232,0.001,0.7226555459713809,0.48286254333622886,0.7237277182540452
36,0.12809296034315906,0.001,0.7242496969207884,0.4221970350239318,0.7254984216883004
37,0.1471541130314113,0.001,0.7259142054451837,0.35104392757477787,0.7268761548003709
