epoch,loss,lr,mean_iou,val_loss,val_mean_iou
0,0.5072161075422319,0.001,0.40492069872759157,0.5346273332834244,0.40988882482051847
1,0.43939701545379345,0.001,0.4086818796863617,0.5418989485914603,0.4108057657502732
2,0.4481399068898981,0.001,0.41187263220132486,0.5106364644173557,0.4118039814181298
3,0.44473142670637555,0.001,0.4119288199826291,0.5449688753242012,0.4115946596523501
4,0.4579202309971081,0.001,0.4114040819453886,0.5891456637742385,0.4113711621026573
5,0.451230703952105,0.001,0.4111996580527497,0.5007307540695622,0.4112653582351013
6,0.45271922178990603,0.001,0.4108480876421698,0.5246462495821826,0.4107149625724217
7,0.4532683689215258,0.001,0.41057709387626606,0.5066656299732016,0.41051237238278177
8,0.4479825891370292,5.0000002e-05,0.41053258569232887,0.5104675148643038,0.41052653804515143
9,0.4491736565253404,5.0000002e-05,0.4103634035100742,0.5029488288381565,0.41033404034638554
10,0.4267894845579928,5.0000002e-05,0.41036537766584646,0.5048298541479891,0.41045596071009366
11,0.45199383928107395,5.0000002e-05,0.4102769363451465,0.49667956829071047,0.4103140026330948
12,0.4500823757830291,5.0000002e-05,0.41021838553738005,0.5111277440808853,0.41010811793729196
13,0.43693318502091183,2.5000002e-06,0.4100986743459896,0.5074295971378591,0.41003573315698394
14,0.4244596627805978,2.5000002e-06,0.41004750801592454,0.4708631852137967,0.4100632311413123
15,0.43664372620341857,2.5000002e-06,0.4100395852397771,0.543938657397744,0.4099670157492536
16,0.4324005498729894,2.5000002e-06,0.40987056746646744,0.4973096382692925,0.40989725207382777
17,0.43809218296559105,2.5000002e-06,0.4099094982305992,0.5108541145264728,0.40986694236221555
18,0.445264657829297,1.2500001e-07,0.40984523033865283,0.5107053214648984,0.4097960756259894
